element_type,ep_next,ep_this,event_points,form,id,news,news_added,now_cost,points_per_game,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance
MID,1.5,2.5,2,2.0,168,,,4.9,2.0,1.3,a,Chelsea,8,12,0.4,2.4,Enzo,511,0,0,1,8,0,0,0,1,0,0,0,82,73.4,138.0,55.0,26.7,6,0.34,0.65,0.99,5.43,182,37,127,93,1.0,5.0,4.0,0.06,0.0,0.11,0.17,0.96,1.41,1.06,0.18,Midfielder,0.0,2.4489795918367343,-0.99
DEF,0.5,1.5,2,1.0,171,,2024-09-02T01:30:06.042221Z,4.9,1.2,1.6,a,Chelsea,8,6,0.2,1.2,Gusto,433,0,0,0,8,0,0,0,1,0,0,0,30,67.0,42.2,24.0,13.4,5,0.12,0.22,0.34,4.78,197,180,206,221,,,,0.02,0.0,0.05,0.07,0.99,1.66,1.04,0.0,Defender,0.0,1.2244897959183672,-0.34
DEF,-0.5,0.0,0,0.0,172,,2024-07-17T13:30:05.006577Z,4.9,0.0,0.1,a,Chelsea,8,0,0.0,0.0,James,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,620,616,608,623,4.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0
MID,-0.2,0.8,0,0.3,174,,2024-08-27T11:00:05.591579Z,4.5,1.5,0.7,a,Chelsea,8,3,0.1,0.7,Lavia,76,0,0,0,1,0,0,0,0,0,0,0,20,15.6,16.8,0.0,3.3,1,0.00,0.18,0.18,0.80,340,268,556,343,,,,0.0,0.0,0.21,0.21,0.95,1.18,1.18,0.0,Midfielder,0.0,0.6666666666666666,-0.18
MID,5.5,6.5,10,6.0,177,,,6.5,7.2,8.9,a,Chelsea,8,43,0.9,6.6,Madueke,476,4,1,2,6,0,0,0,0,0,0,6,144,174.0,90.6,256.0,52.1,6,1.96,0.38,2.34,6.04,33,87,8,19,,,3.0,0.37,0.0,0.07,0.44,1.14,1.13,1.13,0.38,Midfielder,5.0,6.615384615384615,2.66
FWD,-0.5,0.5,0,0.0,178,,,4.9,1.0,0.6,a,Chelsea,8,1,0.0,0.2,Marc Guiu,24,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,0,0.00,0.00,0.0,0.11,626,391,615,629,,,,0.0,0.0,0.0,0.0,0.41,3.75,0.0,0.0,Forward,0.0,0.2040816326530612,0.0
MID,0.2,1.2,1,0.7,179,,,6.2,1.0,0.2,a,Chelsea,8,4,0.1,0.6,Mudryk,81,0,0,0,2,0,0,0,0,0,0,0,17,13.0,29.0,2.0,4.3,1,0.00,0.52,0.52,2.53,349,227,352,328,,,,0.0,0.0,0.58,0.58,2.81,2.22,1.11,0.0,Midfielder,0.0,0.6451612903225806,-0.52
FWD,7.2,8.2,2,7.7,180,,,7.9,6.0,17.3,a,Chelsea,8,42,1.0,5.3,N.Jackson,521,4,3,2,7,0,0,0,2,0,0,5,168,209.4,92.4,297.0,59.9,7,4.92,0.23,5.15,6.58,15,83,5,10,,,,0.85,0.0,0.04,0.89,1.14,1.21,1.21,0.35,Forward,7.0,5.3164556962025316,1.8499999999999996
MID,0.5,1.5,1,1.0,181,,,6.0,1.9,3.1,a,Chelsea,8,13,0.2,2.2,Nkunku,125,1,0,0,1,0,0,0,0,0,0,1,51,62.8,49.6,90.0,20.2,1,1.80,0.16,1.96,1.86,205,164,77,150,,,2.0,1.3,0.0,0.12,1.42,1.34,0.72,0.72,0.0,Midfielder,1.0,2.1666666666666665,-0.96
MID,12.5,13.5,6,13.0,182,,2024-09-04T10:00:05.275173Z,10.8,9.6,50.3,a,Chelsea,8,67,1.2,6.2,Palmer,595,6,5,2,8,0,0,0,3,0,0,9,279,366.4,298.1,204.0,86.9,7,4.07,1.79,5.86,7.32,2,4,19,3,2.0,1.0,1.0,0.62,0.0,0.27,0.89,1.11,1.21,1.06,0.3,Midfielder,11.0,6.203703703703703,5.14
MID,-0.2,0.8,0,0.3,184,,,4.5,1.2,0.3,a,Chelsea,8,5,0.1,1.1,Renato Veiga,127,0,0,1,1,0,0,0,1,0,0,0,23,30.4,5.5,15.0,5.1,1,0.04,0.01,0.05,2.20,289,330,236,315,,,,0.03,0.0,0.01,0.04,1.56,0.71,0.71,0.71,Midfielder,0.0,1.1111111111111112,-0.05
GKP,4.8,5.8,4,5.3,185,,,4.7,5.1,11.9,a,Chelsea,8,36,1.1,7.7,Sánchez,630,0,0,2,8,0,1,0,1,0,33,5,138,246.4,0.0,0.0,24.5,7,0.00,0.00,0.0,7.72,8,602,584,111,,,,0.0,4.71,0.0,0.0,1.1,1.14,1.0,0.29,Goalkeeper,0.0,7.659574468085106,0.0
DEF,1.8,2.8,1,2.3,187,,,4.4,2.7,0.2,a,Chelsea,8,8,0.5,1.8,Tosin,119,0,0,1,0,0,0,0,0,0,0,0,44,36.2,11.1,0.0,4.8,1,0.00,0.00,0.0,1.32,280,306,469,321,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.76,0.76,Defender,0.0,1.8181818181818181,0.0
DEF,0.0,0.8,1,0.3,189,Suspended until 27 Oct,2024-10-06T22:00:07.368413Z,4.5,1.6,0.5,s,Chelsea,8,11,0.1,2.4,W.Fofana,596,0,0,1,8,0,0,0,5,0,0,2,67,109.8,50.9,14.0,17.6,7,0.04,0.10,0.14,7.37,118,161,241,178,,,,0.01,0.0,0.02,0.03,1.11,1.21,1.06,0.15,Defender,0.0,2.4444444444444446,-0.14
MID,4.5,5.5,2,5.0,386,,,6.4,4.5,2.6,a,Chelsea,8,18,0.8,2.8,Sancho,260,0,4,0,3,0,0,0,1,0,0,1,79,75.8,112.6,31.0,21.9,3,0.08,0.83,0.91,2.45,178,52,189,132,,,,0.03,0.0,0.29,0.32,0.85,1.04,1.04,0.0,Midfielder,4.0,2.8125,3.09
MID,0.2,1.2,0,0.7,560,,,6.2,1.1,0.5,a,Chelsea,8,8,0.1,1.3,Neto,240,0,1,0,2,0,0,0,2,0,0,0,36,50.0,91.1,30.0,17.1,2,0.11,0.41,0.52,2.52,233,85,191,182,3.0,,,0.04,0.0,0.15,0.19,0.94,0.75,0.75,0.0,Midfielder,1.0,1.2903225806451613,0.48
GKP,-0.5,0.5,0,0.0,581,,,4.3,0.0,0.2,a,Chelsea,8,0,0.0,0.0,Jørgensen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,507,491,458,511,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0
MID,0.2,1.2,1,0.7,621,,,6.2,1.8,0.6,a,Chelsea,8,9,0.1,1.5,João Félix,118,1,0,0,0,0,0,0,1,0,0,0,33,45.0,19.9,57.0,12.1,0,0.47,0.11,0.58,1.18,244,254,121,237,,,,0.36,0.0,0.08,0.44,0.9,0.0,0.0,0.0,Midfielder,1.0,1.4516129032258065,0.42000000000000004
FWD,1.7,0.7,1,1.7,11,,,5.9,1.8,1.0,a,Crystal Palace,31,7,0.3,1.2,Nketiah,317,0,0,1,5,0,0,0,1,0,0,0,28,12.4,19.4,89.0,11.8,4,0.65,0.26,0.91,5.13,350,257,79,242,,,,0.18,0.0,0.07,0.25,1.46,1.42,1.14,0.28,Forward,0.0,1.1864406779661016,-0.91
DEF,0.7,-0.3,2,0.7,159,,2024-09-13T15:30:06.602568Z,4.4,2.0,0.2,a,Crystal Palace,31,2,0.2,0.5,Chalobah,87,0,0,0,1,0,0,0,0,0,0,0,2,5.8,1.0,36.0,4.3,1,0.21,0.01,0.22,1.31,383,369,168,326,,,,0.22,0.0,0.01,0.23,1.36,1.03,1.03,0.0,Defender,0.0,0.45454545454545453,-0.22
DEF,2.0,1.0,6,2.0,196,,,4.4,3.0,0.1,a,Crystal Palace,31,9,0.5,2.0,Clyne,226,0,0,1,3,0,0,0,0,0,0,0,37,31.4,2.9,3.0,3.7,2,0.01,0.02,0.03,4.64,287,348,328,337,,,,0.0,0.0,0.01,0.01,1.85,1.19,0.8,0.4,Defender,0.0,2.0454545454545454,-0.03
MID,2.3,1.3,2,2.3,199,,,6.8,3.3,14.7,a,Crystal Palace,31,23,0.3,3.4,Eze,630,1,0,1,10,0,0,0,0,0,0,3,109,117.4,214.8,208.0,53.9,7,2.46,1.04,3.5,10.47,108,15,15,16,1.0,1.0,2.0,0.35,0.0,0.15,0.5,1.5,1.43,1.0,0.14,Midfielder,1.0,3.3823529411764706,-2.5
DEF,5.7,4.7,2,5.7,200,,,4.4,3.0,6.4,a,Crystal Palace,31,21,1.3,4.8,Guéhi,630,1,0,1,10,0,0,0,1,0,0,2,101,224.0,37.7,37.0,30.0,7,0.18,0.21,0.39,10.47,11,195,167,73,,,,0.03,0.0,0.03,0.06,1.5,1.43,1.0,0.14,Defender,1.0,4.7727272727272725,0.61
GKP,4.3,3.3,3,4.3,201,,,4.5,3.0,10.8,a,Crystal Palace,31,21,1.0,4.7,Henderson,630,0,0,1,10,0,0,0,1,0,22,2,73,177.6,0.0,4.0,18.1,7,0.01,0.00,0.01,10.47,29,533,320,170,,,,0.0,3.14,0.0,0.0,1.5,1.43,1.0,0.14,Goalkeeper,0.0,4.666666666666667,-0.01
DEF,0.0,-1.0,0,0.0,202,,,4.3,0.0,0.1,a,Crystal Palace,31,0,0.0,0.0,Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,499,483,447,503,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0
MID,0.3,-0.7,0,0.3,203,,2024-08-23T14:00:06.339937Z,4.9,0.7,0.0,a,Crystal Palace,31,4,0.1,0.8,Hughes,233,0,0,0,4,0,0,0,3,0,0,0,16,25.0,19.6,24.0,6.7,2,0.05,0.09,0.14,4.37,303,256,205,294,5.0,,,0.02,0.0,0.03,0.05,1.69,1.55,0.77,0.0,Midfielder,0.0,0.8163265306122448,-0.14
MID,2.0,1.0,1,2.0,205,,,5.2,1.6,0.2,a,Crystal Palace,31,11,0.4,2.1,Kamada,362,0,0,1,6,0,0,0,1,0,0,0,44,54.2,84.1,39.0,17.8,4,0.21,0.22,0.43,5.73,221,97,164,176,,,,0.05,0.0,0.05,0.1,1.42,1.49,0.99,0.25,Midfielder,0.0,2.1153846153846154,-0.43
MID,1.3,0.3,1,1.3,206,,2024-09-02T01:30:06.097342Z,4.8,1.4,0.1,a,Crystal Palace,31,7,0.3,1.5,Lerma,303,0,0,1,4,0,0,0,2,0,0,0,35,31.4,43.6,12.0,8.8,3,0.09,0.38,0.47,4.35,288,175,254,267,,,,0.03,0.0,0.11,0.14,1.29,1.19,0.89,0.3,Midfielder,0.0,1.4583333333333335,-0.47
FWD,1.3,0.3,1,1.3,207,,,7.4,3.1,3.4,a,Crystal Palace,31,22,0.2,3.0,Mateta,458,2,0,0,8,0,0,0,0,0,0,3,80,75.8,86.9,89.0,24.8,6,1.70,0.33,2.03,7.82,179,94,80,106,,,1.0,0.33,0.0,0.06,0.39,1.54,1.57,1.18,0.0,Forward,2.0,2.972972972972973,-0.029999999999999805
GKP,0.0,-1.0,0,0.0,209,,,4.0,0.0,0.7,a,Crystal Palace,31,0,0.0,0.0,Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,438,421,377,442,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0
DEF,2.7,1.7,1,2.7,210,,,4.9,2.3,1.6,a,Crystal Palace,31,16,0.6,3.3,Mitchell,597,0,1,1,10,0,0,0,0,0,0,0,95,145.0,138.1,42.0,32.6,7,0.24,0.86,1.1,9.94,64,36,156,62,,,,0.04,0.0,0.13,0.17,1.5,1.51,1.06,0.15,Defender,1.0,3.265306122448979,-0.10000000000000009
DEF,2.0,1.7,1,2.7,211,Groin Injury - 75% chance of playing,2024-10-05T18:00:07.079825Z,4.8,2.1,1.9,d,Crystal Palace,31,15,0.6,3.1,Muñoz,546,0,1,1,10,0,0,0,1,0,0,0,63,96.6,88.6,73.0,25.8,7,0.33,0.40,0.73,9.31,140,91,93,98,,,,0.05,0.0,0.07,0.12,1.53,1.65,1.15,0.16,Defender,1.0,3.125,0.27
MID,0.7,-0.3,0,0.7,214,,,4.8,1.0,0.1,a,Crystal Palace,31,5,0.1,1.0,Schlupp,30,0,0,0,0,0,0,0,0,0,0,0,17,7.2,17.3,8.0,3.1,0,0.05,0.06,0.11,0.57,379,266,286,347,,,,0.15,0.0,0.18,0.33,1.71,0.0,0.0,0.0,Midfielder,0.0,1.0416666666666667,-0.11
DEF,0.0,-1.0,0,0.0,215,,,4.4,0.0,0.1,a,Crystal Palace,31,0,0.0,0.0,Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,510,495,463,514,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0
MID,1.3,0.3,1,1.3,216,,2024-10-12T11:00:07.288216Z,4.8,1.7,0.3,a,Crystal Palace,31,12,0.3,2.5,Wharton,534,0,0,0,9,0,0,0,0,0,0,0,95,95.8,128.9,43.0,26.8,7,0.16,0.58,0.74,8.71,142,43,151,90,4.0,,,0.03,0.0,0.1,0.13,1.47,1.52,1.18,0.0,Midfielder,0.0,2.5,-0.74
GKP,0.0,-1.0,0,0.0,445,Ineligible to face his parent club on 21/10. - Expected back 27 Oct,2024-10-05T17:30:07.013947Z,4.0,0.0,13.3,n,Crystal Palace,31,0,0.0,0.0,Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,452,435,392,456,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0
MID,1.0,0.0,1,1.0,585,,,5.8,1.4,0.2,a,Crystal Palace,31,10,0.2,1.7,I.Sarr,218,0,1,0,2,0,0,0,1,0,0,0,43,22.6,61.2,90.0,17.3,1,0.57,0.74,1.31,2.60,307,132,76,180,,,,0.24,0.0,0.31,0.55,1.07,0.83,0.41,0.0,Midfielder,1.0,1.7241379310344829,-0.31000000000000005
MID,0.0,-1.0,0,0.0,644,,,4.5,0.0,0.0,a,Crystal Palace,31,0,0.0,0.0,Umeh-Chibueze,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,596,593,574,600,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0
MID,0.0,-1.0,0,0.0,645,,,4.5,0.0,0.0,a,Crystal Palace,31,0,0.0,0.0,Devenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,564,561,541,568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0
MID,0.0,-1.0,0,0.0,646,,,4.5,0.0,0.0,a,Crystal Palace,31,0,0.0,0.0,Agbinone,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,600,597,578,604,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0
MID,0.0,-1.0,0,0.0,647,,,4.5,0.0,0.0,a,Crystal Palace,31,0,0.0,0.0,Rodney,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,583,580,561,587,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0
DEF,3.7,2.7,2,3.7,650,,,4.5,3.0,0.1,a,Crystal Palace,31,12,0.8,2.7,Lacroix,360,0,1,1,5,0,0,0,1,0,0,0,54,89.0,37.0,15.0,14.1,4,0.18,0.38,0.56,5.22,154,198,234,215,,,,0.04,0.0,0.1,0.14,1.3,1.25,1.0,0.25,Defender,1.0,2.6666666666666665,0.43999999999999995
DEF,1.2,0.2,0,0.0,666,,,4.0,0.0,0.0,a,Crystal Palace,31,0,0.0,0.0,Kporha,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,493,477,438,497,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0
MID,2.3,2.3,3,2.3,217,,,5.2,1.8,0.2,a,Everton,11,11,0.4,2.1,A.Doucoure,395,0,0,1,9,0,0,0,0,0,0,0,41,39.8,54.5,17.0,11.1,5,0.23,0.07,0.3,7.99,268,148,229,245,,,,0.05,0.0,0.02,0.07,1.82,2.05,1.14,0.23,Midfielder,0.0,2.1153846153846154,-0.3
FWD,0.0,0.0,0,0.0,218,,,5.0,1.0,0.7,a,Everton,11,4,0.0,0.8,Beto,43,0,0,0,4,0,0,0,0,0,0,0,6,1.2,0.3,0.0,0.2,0,0.00,0.00,0.0,1.85,412,392,633,422,,,,0.0,0.0,0.0,0.0,3.87,8.37,0.0,0.0,Forward,0.0,0.8,0.0
DEF,0.3,0.5,0,0.7,219,Lack of match fitness - 50% chance of playing,2024-10-04T00:00:05.702491Z,4.8,2.0,0.7,d,Everton,11,2,0.1,0.4,Branthwaite,90,0,0,0,1,0,0,0,0,0,0,0,17,19.2,0.8,0.0,2.0,1,0.00,0.00,0.0,0.95,318,372,595,373,,,,0.0,0.0,0.0,0.0,0.95,1.0,1.0,0.0,Defender,0.0,0.4166666666666667,0.0
FWD,1.7,1.7,2,1.7,220,,2024-09-18T19:30:06.748871Z,6.0,3.9,6.2,a,Everton,11,27,0.3,4.5,Calvert-Lewin,593,2,1,1,11,0,0,0,1,0,0,3,66,111.0,34.3,202.0,34.6,7,1.93,0.44,2.37,10.32,116,208,20,56,,,1.0,0.29,0.0,0.07,0.36,1.57,1.67,1.06,0.15,Forward,3.0,4.5,0.6299999999999999
DEF,0.0,0.0,0,0.0,221,,2024-09-11T12:30:06.934350Z,4.3,1.0,0.0,a,Everton,11,1,0.0,0.2,Coleman,90,0,0,0,3,0,0,0,0,0,0,0,-1,16.6,1.1,21.0,3.9,1,0.62,0.01,0.63,2.22,330,367,213,334,,,,0.62,0.0,0.01,0.63,2.22,3.0,1.0,0.0,Defender,0.0,0.23255813953488372,-0.63
MID,0.7,0.7,1,0.7,222,,2024-09-19T14:30:05.586621Z,4.9,1.7,0.1,a,Everton,11,10,0.1,2.0,Gana,373,0,0,0,12,0,0,0,0,0,0,0,40,46.4,11.3,33.0,9.0,4,0.63,0.11,0.74,8.00,241,302,182,263,,,,0.15,0.0,0.03,0.18,1.93,2.9,0.97,0.0,Midfielder,0.0,2.0408163265306123,-0.74
MID,2.7,2.7,3,2.7,224,,2024-09-19T14:30:05.601507Z,5.3,2.1,0.1,a,Everton,11,15,0.5,2.8,Harrison,434,0,1,1,10,0,0,0,0,0,0,0,60,53.8,94.8,70.0,21.7,5,0.79,0.50,1.29,9.17,223,78,101,134,,,,0.16,0.0,0.1,0.26,1.9,2.07,1.04,0.21,Midfielder,1.0,2.8301886792452833,-0.29000000000000004
GKP,0.0,0.0,0,0.0,227,,,4.0,0.0,0.4,a,Everton,11,0,0.0,0.0,J.Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,451,434,391,455,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0
DEF,2.3,2.3,6,2.3,228,,2024-09-19T14:30:05.611115Z,4.1,2.5,6.6,a,Everton,11,15,0.6,3.7,Keane,540,1,0,1,14,0,0,0,2,0,0,0,37,130.4,11.9,42.0,18.5,6,0.26,0.02,0.28,10.91,85,295,154,165,,,,0.04,0.0,0.0,0.04,1.82,2.33,1.0,0.17,Defender,1.0,3.658536585365854,0.72
MID,6.3,6.3,2,6.3,230,,,5.7,5.9,10.0,a,Everton,11,41,1.1,7.2,McNeil,622,3,2,1,15,0,0,0,1,0,0,6,185,208.8,359.7,109.0,67.8,7,0.53,3.06,3.58,11.83,17,2,60,6,1.0,,,0.08,0.0,0.44,0.52,1.71,2.17,1.01,0.14,Midfielder,5.0,7.192982456140351,1.42
DEF,0.7,0.7,0,0.7,231,,2024-10-07T00:30:07.641913Z,4.3,1.0,4.0,a,Everton,11,5,0.2,1.2,Mykolenko,385,0,0,0,11,0,0,0,0,0,0,0,2,54.2,33.5,7.0,9.5,5,0.02,0.17,0.19,7.40,220,211,291,258,,,,0.0,0.0,0.04,0.04,1.73,2.57,1.17,0.0,Defender,0.0,1.1627906976744187,-0.19
FWD,4.3,4.3,2,4.3,232,,,5.4,2.6,1.0,a,Everton,11,18,0.8,3.3,Ndiaye,482,1,0,2,8,0,0,0,1,0,0,3,91,118.2,81.0,94.0,29.4,5,0.51,0.24,0.75,7.14,105,102,74,76,,,,0.1,0.0,0.04,0.14,1.33,1.49,0.93,0.37,Forward,1.0,3.333333333333333,0.25
DEF,0.0,0.0,0,0.0,234,Lack of match fitness - 25% chance of playing,2024-08-12T14:30:04.567805Z,4.4,0.0,0.0,d,Everton,11,0,0.0,0.0,Patterson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,522,514,487,526,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0
GKP,6.3,6.3,15,6.3,235,,,4.8,3.6,8.9,a,Everton,11,25,1.3,5.2,Pickford,630,0,0,1,15,0,1,0,1,0,20,3,61,182.8,0.1,0.0,18.2,7,0.00,0.05,0.05,11.86,28,400,587,169,,,,0.0,2.86,0.01,0.01,1.69,2.14,1.0,0.14,Goalkeeper,0.0,5.208333333333334,-0.05
DEF,4.0,4.0,8,4.0,236,,2024-09-18T22:30:07.010253Z,4.8,2.0,1.2,a,Everton,11,14,0.8,2.9,Tarkowski,630,0,0,1,15,0,0,0,1,0,0,2,31,155.0,33.9,56.0,24.6,7,0.63,0.25,0.88,11.86,49,209,123,107,,,,0.09,0.0,0.04,0.13,1.69,2.14,1.0,0.14,Defender,0.0,2.916666666666667,-0.88
DEF,5.7,5.7,6,5.7,238,,2024-08-17T20:00:05.873666Z,4.5,3.0,0.4,a,Everton,11,15,1.3,3.3,Young,425,0,2,1,8,0,0,0,1,1,0,1,48,99.2,72.7,0.0,17.2,5,0.00,0.36,0.36,7.01,134,112,497,181,,1.0,,0.0,0.0,0.08,0.08,1.48,1.69,1.06,0.21,Defender,2.0,3.3333333333333335,1.6400000000000001
MID,1.3,1.3,0,1.3,577,,,5.2,1.5,0.1,a,Everton,11,6,0.2,1.2,Lindstrøm,147,0,0,1,3,0,0,0,0,0,0,0,20,32.0,47.1,50.0,12.9,2,0.51,0.47,0.98,1.82,285,168,134,229,,,,0.31,0.0,0.29,0.6,1.11,1.84,1.22,0.61,Midfielder,0.0,1.1538461538461537,-0.98
DEF,0.0,0.0,0,0.0,582,,,4.7,0.0,0.2,a,Everton,11,0,0.0,0.0,O'Brien,26,0,0,0,1,0,0,0,1,0,0,0,-2,4.0,0.4,0.0,0.4,0,0.00,0.00,0.0,0.72,392,385,586,410,,,,0.0,0.0,0.0,0.0,2.49,3.46,0.0,0.0,Defender,0.0,0.0,0.0
MID,0.0,0.0,0,0.0,603,,,4.5,1.0,0.2,a,Everton,11,1,0.0,0.2,Armstrong,1,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.1,2.0,0.2,0,0.00,0.00,0.0,0.00,605,399,342,420,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.2222222222222222,0.0
GKP,0.0,0.0,0,0.0,624,,,4.0,0.0,0.2,a,Everton,11,0,0.0,0.0,Begovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,428,410,366,432,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0
DEF,0.0,0.0,0,0.0,627,,,4.0,0.0,0.1,a,Everton,11,0,0.0,0.0,Dixon,90,0,0,0,4,0,0,0,0,0,0,0,0,15.4,0.3,0.0,1.6,1,0.00,0.00,0.0,2.43,341,386,415,388,,,,0.0,0.0,0.0,0.0,2.43,4.0,1.0,0.0,Defender,0.0,0.0,0.0
MID,1.7,1.7,1,1.7,651,,,5.0,1.5,0.0,a,Everton,11,6,0.3,1.2,Mangala,254,0,0,0,3,0,0,0,0,0,0,0,32,26.8,17.9,8.0,5.3,3,0.11,0.07,0.18,3.86,296,262,288,313,,,,0.04,0.0,0.02,0.06,1.37,1.06,1.06,0.0,Midfielder,0.0,1.2,-0.18
MID,4.0,3.0,4,4.0,10,,,5.0,2.6,0.1,a,Fulham,54,13,0.8,2.6,Nelson,76,1,1,0,2,0,0,0,1,0,0,1,50,64.0,26.3,58.0,14.8,0,0.41,0.24,0.65,1.04,202,234,118,203,,,,0.49,0.0,0.28,0.77,1.23,2.37,0.0,0.0,Midfielder,2.0,2.6,1.35
MID,4.0,3.0,1,4.0,19,,,5.7,4.9,27.1,a,Fulham,54,34,0.7,6.0,Smith Rowe,469,2,1,3,4,0,0,0,0,0,0,5,124,125.6,102.6,92.0,32.1,6,1.48,0.78,2.26,4.87,93,65,75,65,,,,0.28,0.0,0.15,0.43,0.93,0.77,1.15,0.58,Midfielder,3.0,5.964912280701754,0.7400000000000002
DEF,3.7,2.7,1,3.7,191,,2024-10-16T12:30:06.906838Z,4.3,2.6,8.8,a,Fulham,54,13,0.9,3.0,Andersen,450,0,0,1,7,0,0,0,1,0,0,2,62,124.8,18.6,33.0,17.7,5,0.17,0.07,0.24,6.26,94,260,181,177,,,,0.03,0.0,0.01,0.04,1.25,1.4,1.0,0.2,Defender,0.0,3.0232558139534884,-0.24
MID,3.0,2.0,2,3.0,239,,,5.1,4.0,3.8,a,Fulham,54,28,0.6,5.5,Adama,556,1,2,2,7,0,0,0,2,0,0,3,115,129.8,154.7,167.0,45.2,7,2.45,1.45,3.9,6.56,88,32,29,29,,,,0.4,0.0,0.23,0.63,1.06,1.13,1.13,0.32,Midfielder,3.0,5.490196078431373,-0.8999999999999999
MID,5.0,4.0,8,5.0,240,,,5.3,3.3,1.8,a,Fulham,54,23,0.9,4.3,Andreas,544,1,1,2,6,0,0,0,2,0,0,1,106,94.0,332.0,83.0,50.9,7,0.97,1.50,2.47,5.43,148,3,87,21,1.0,1.0,2.0,0.16,0.0,0.25,0.41,0.9,0.99,1.16,0.33,Midfielder,2.0,4.339622641509434,-0.4700000000000002
DEF,2.7,1.7,0,2.7,241,,,4.5,2.1,0.4,a,Fulham,54,15,0.6,3.3,Bassey,630,0,0,1,8,0,0,0,2,0,0,0,78,121.4,7.5,15.0,14.3,7,0.19,0.06,0.25,8.16,101,320,233,211,,,,0.03,0.0,0.01,0.04,1.17,1.14,1.0,0.14,Defender,0.0,3.3333333333333335,-0.25
